mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00200,Logos,Person,1975-11-05_SECTION_013_03,,"s (its) will. Through the agency of the Logos, which is St. Sophia. All this would su"
M00201,TEARS,Work,1975-11-05_SECTION_013_03,,"nding, all my dreams (esp. the dream in TEARS, and the ""so many breaches"" dream) sugg"
M00202,Acts,Work,1975-11-05_SECTION_013_03,,"was rejected by His own people. And re ""Acts,"" the true gospel —authoritative, offic"
M00203,Nixon,Person,1975-11-05_SECTION_013_04,,cation I felt; the breaking down of the Nixon gang tyranny; my whole preoccupation wi
M00204,Jesus,Person,1975-11-05_SECTION_013_04,,aithful to him. Not anything else which Jesus said or did during his life. Then it is
M00205,Christ,Person,1975-11-05_SECTION_013_04,,"He did in 3-74. Mark: ""Those closest to Christ thought he was insane."" So his mother a"
M00206,God,Person,1975-11-05_SECTION_013_04,,rables about the approaching Kingdom of God. I keep forgetting this. How much of th
M00207,Holy Spirit,Person,1975-11-05_SECTION_013_04,,s appeared drunk to bystanders when the Holy Spirit came to them at Pentercost. Thinking ab
M00208,Heraclitus,Person,1975-11-05_SECTION_013_04,,ght of the soul is a lousy place to be. Heraclitus says the Logos can be heard. My goodnes
M00209,Dionysus,Person,1975-11-05_SECTION_013_04,,"et him, but he rebuffed them. Shades of Dionysus; also, that the apostles appeared drunk"
M00210,Aphrodite,Person,1975-11-05_SECTION_013_04,,"oman. I see her, then, in my dreams: as Aphrodite, as the sibyl, as Linda Ronstadt singin"
M00211,Simon Magus,Person,1975-11-05_SECTION_013_04,,"bout this, but it is so, based on 3-74. Simon Magus lives. Also, it is a thoroughly Greek s"
M00212,Sophia,Person,1975-11-05_SECTION_013_04,,"ke in my head at night which said, ""St. Sophia will be"" etc., was/is it. It still spea"
M00213,Logos,Person,1975-11-05_SECTION_013_04,,lousy place to be. Heraclitus says the Logos can be heard. My goodness. Heraclitus a
M00214,UBIK,Work,1975-11-05_SECTION_013_04,,"hough). It inspired, among other works, UBIK. It put the dream material in TEARS. Pe"
M00215,Ubik,Work,1975-11-05_SECTION_013_04,,"hough). It inspired, among other works, UBIK. It put the dream material in TEARS. Pe"
